C,Si,Mn,P,S,Cr,Ni,Cu,Mo,V,Sn,Al,Ti,Nb,CEQ,板坯装炉前温度,轧制道次数,精轧道次数,轧制厚度,粗轧开轧温度_测量平均,粗轧终止温度_测量平均,精轧开轧温度_测量平均,精轧终止温度_测量平均,抽出平均温度,TENSION_RM,YIELD_REH,EL
0.157,0.26,1.25,0.013,0.006,0.02,0.01,0.02,0.001,0.002,0.002,0.04,0.02,0.011,0.37,551,14,7,24.7,1150,1104,863,831,1203,528,435,28.5
0.157,0.26,1.25,0.013,0.006,0.02,0.01,0.02,0.001,0.002,0.002,0.04,0.02,0.011,0.37,544,12,7,23.7,1172,1125,870,844,1193,532,411,29.0
0.157,0.26,1.25,0.013,0.006,0.02,0.01,0.02,0.001,0.002,0.002,0.04,0.02,0.011,0.37,560,12,7,19.65,1155,1101,853,796,1191,529,443,28.0
0.157,0.26,1.25,0.013,0.006,0.02,0.01,0.02,0.001,0.002,0.002,0.04,0.02,0.011,0.37,538,12,7,24.55,1155,1107,872,831,1194,538,436,27.0
0.144,0.23,1.28,0.013,0.003,0.02,0.01,0.02,0.002,0.002,0.002,0.027,0.014,0.014,0.36,573,16,9,39.54,1153,1104,865,834,1173,525,415,27.5
0.156,0.3,1.24,0.01,0.004,0.02,0.01,0.01,0.001,0.001,0.002,0.035,0.018,0.011,0.38,20,12,7,33.65,1178,1127,863,832,1208,536,416,27.5
0.156,0.3,1.24,0.01,0.004,0.02,0.01,0.01,0.001,0.001,0.002,0.035,0.018,0.011,0.38,20,12,7,34.65,1169,1118,847,826,1199,549,449,26.5
0.152,0.24,1.28,0.014,0.003,0.02,0.01,0.02,0.002,0.001,0.002,0.029,0.017,0.014,0.37,423,16,7,14.55,1170,1115,928,810,1214,545,456,26.5
0.152,0.24,1.28,0.014,0.003,0.02,0.01,0.02,0.002,0.001,0.002,0.029,0.017,0.014,0.37,523,14,7,19.45,1180,1124,869,811,1206,536,456,28.0
0.152,0.24,1.28,0.014,0.003,0.02,0.01,0.02,0.002,0.001,0.002,0.029,0.017,0.014,0.37,525,14,7,17.52,1183,1125,878,802,1216,525,449,27.5
0.152,0.24,1.28,0.014,0.003,0.02,0.01,0.02,0.002,0.001,0.002,0.029,0.017,0.014,0.37,561,16,9,24.37,1183,1117,804,818,1215,544,455,28.5
0.161,0.27,1.23,0.012,0.008,0.02,0.01,0.04,0.003,0.002,0.003,0.041,0.021,0.015,0.38,70,14,5,7.74,1165,1114,878,818,1197,550,424,29.0
0.153,0.27,1.27,0.014,0.007,0.02,0.01,0.01,0.001,0.002,0.003,0.029,0.016,0.011,0.37,397,16,9,29.6,1169,1117,863,817,1190,516,429,27.5
0.164,0.22,1.24,0.01,0.005,0.02,0.01,0.01,0.001,0.002,0.003,0.027,0.015,0.011,0.38,319,14,7,19.0,1152,1106,873,835,1187,516,414,27.5
0.154,0.24,1.23,0.01,0.002,0.02,0.01,0.01,0.001,0.002,0.003,0.025,0.018,0.011,0.36,431,14,7,40.1,1160,1114,860,852,1197,509,399,27.5
0.149,0.3,1.23,0.018,0.002,0.02,0.01,0.01,0.002,0.002,0.003,0.03,0.019,0.012,0.36,578,14,7,13.5,1165,1109,916,800,1200,534,417,27.0
